TRADE_ID,AUDIT_TYPE,RISK_FLAG,ROOT_CAUSE,AUDIT_COMPLETE_FLAG,GENERATED_AT
TRD53802739,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD17352414,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD24973659,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD21649509,T+1_SETTLEMENT_AUDIT,RED,Settlement Latency Breach (3 Days),true,2026-02-07 06:24:17.079 -0800
TRD38960441,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD56824683,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD26017939,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD81956023,T+1_SETTLEMENT_AUDIT,RED,Settlement Latency Breach (2 Days),true,2026-02-07 06:24:17.079 -0800
TRD97097323,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
TRD84360444,T+1_SETTLEMENT_AUDIT,AMBER,Missing FX Rate for Trade Date,true,2026-02-07 06:24:17.079 -0800
